quest_id,quarter2_trade_counts,setA,setB,setN
8,2,F,F,T
21,2,F,F,T
24,2,F,F,T
25,2,F,F,T
26,2,F,F,T
27,3,F,F,T
30,2,F,F,T
31,3,F,F,T
32,4,F,F,T
56,1,F,F,T
57,8,F,F,T
64,4,F,F,T
70,1,F,F,T
76,32,T,F,F
84,49,F,T,F
102,85,F,T,F
103,22,T,F,F
105,30,F,F,T
123,1,T,F,F
124,1,F,F,T
125,4,F,F,T
128,22,T,F,F
129,6,T,F,F
130,22,F,T,F
132,10,F,F,T
133,19,F,F,T
134,1,F,F,T
136,6,F,F,T
137,1,F,F,T
138,15,T,F,F
139,23,F,T,F
140,7,T,F,F
141,1,F,F,T
144,4,T,F,F
145,70,F,T,F
146,15,F,F,T
147,4,F,F,T
148,1,F,F,T
151,2,F,F,T
152,1,F,F,T
154,32,T,F,F
156,2,F,F,T
158,17,T,F,F
170,1,F,F,T
171,6,F,F,T
172,45,F,T,F
173,10,T,F,F
176,2,F,F,T
178,2,F,F,T
179,14,T,F,F
181,8,F,F,T
182,4,F,F,T
183,36,F,T,F
184,5,T,F,F
188,50,F,T,F
189,32,F,T,F
190,47,F,T,F
191,11,T,F,F
192,27,F,T,F
193,17,T,F,F
194,49,F,T,F
195,15,T,F,F
197,14,T,F,F
198,1,F,F,T
199,35,F,T,F
201,21,T,F,F
204,25,T,F,F
205,17,F,T,F
208,8,T,F,F
209,58,F,T,F
212,25,F,T,F
213,59,F,T,F
214,1,F,F,T
215,1,F,F,T
216,8,T,F,F
217,10,F,T,F
220,30,F,T,F
224,28,T,F,F
227,1,F,F,T
228,8,F,F,T
229,27,T,F,F
230,4,T,F,F
231,6,F,F,T
253,5,T,F,F
254,2,F,T,F
257,8,F,T,F
287,1,F,F,T
290,1,F,F,T
291,1,F,F,T
292,1,F,F,T
293,1,F,F,T
294,1,F,F,T
295,1,F,F,T
296,1,F,F,T
297,2,F,F,T
298,1,F,F,T
299,1,F,F,T
300,1,F,F,T
301,1,F,F,T
307,16,F,T,F
309,15,T,F,F
313,3,F,F,T
314,5,T,F,F
316,5,T,F,F
317,3,F,F,T
318,3,F,F,T
320,15,F,F,T
321,61,T,F,F
322,2,F,F,T
326,17,T,F,F
327,1,F,F,T
328,23,T,F,F
332,1,F,F,T
333,8,T,F,F
334,23,F,T,F
337,4,F,T,F
338,14,T,F,F
341,33,F,T,F
342,16,F,T,F
343,70,F,T,F
345,9,T,F,F
347,13,T,F,F
349,1,F,T,F
352,29,F,T,F
353,1,F,F,T
355,14,T,F,F
357,15,T,F,F
358,11,T,F,F
359,65,F,T,F
360,102,F,T,F
363,1,F,F,T
369,4,T,F,F
370,4,F,T,F
372,2,F,T,F
375,50,F,T,F
376,14,T,F,F
377,29,T,F,F
379,4,F,F,T
382,93,F,T,F
384,20,T,F,F
386,20,T,F,F
393,19,F,T,F
399,42,F,T,F
400,2,F,F,T
402,4,F,F,T
403,33,T,F,F
404,44,F,T,F
405,8,F,T,F
406,1,F,F,T
409,1,F,F,T
410,1,F,T,F
413,11,F,T,F
414,2,F,F,T
416,7,T,F,F
417,26,F,T,F
418,17,T,F,F
419,18,T,F,F
420,46,T,F,F
421,1,F,F,T
422,24,F,T,F
425,16,T,F,F
426,21,F,T,F
427,6,F,F,T
428,10,T,F,F
438,9,T,F,F
439,1,F,F,T
440,1,F,F,T
442,2,F,F,T
445,31,F,T,F
446,4,F,F,T
447,19,T,F,F
448,11,T,F,F
450,1,F,F,T
451,10,T,F,F
452,21,T,F,F
453,1,F,F,T
454,23,T,F,F
459,56,F,T,F
466,45,F,T,F
467,24,T,F,F
468,11,T,F,F
469,50,F,T,F
483,2,F,F,T
484,10,F,F,T
508,1,F,F,T
529,25,T,F,F
531,2,F,F,T
533,15,F,T,F
547,2,F,F,T
549,1,F,F,T
551,11,F,T,F
552,96,F,T,F
553,8,T,F,F
554,23,F,T,F
555,5,F,F,T
556,30,F,F,T
559,8,F,T,F
560,13,F,T,F
561,3,T,F,F
562,8,F,T,F
565,7,T,F,F
566,25,F,T,F
579,1,F,F,T
580,20,F,T,F
581,2,T,F,F
582,32,F,T,F
583,21,T,F,F
584,36,F,T,F
586,4,F,F,T
587,22,F,T,F
588,16,T,F,F
607,14,T,F,F
609,8,T,F,F
616,10,F,T,F
620,78,T,F,F
622,13,T,F,F
623,18,F,T,F
624,28,F,T,F
625,17,T,F,F
628,47,F,T,F
629,8,F,F,T
631,3,F,F,T
632,27,F,T,F
633,13,T,F,F
635,7,T,F,F
636,2,F,F,T
637,19,F,F,T
638,4,F,F,T
644,2,T,F,F
646,2,F,F,T
647,10,T,F,F
650,1,F,F,T
651,1,F,F,T
653,12,F,F,T
654,10,T,F,F
656,31,F,T,F
657,1,F,F,T
663,2,T,F,F
664,6,F,T,F
665,3,T,F,F
666,31,F,T,F
668,1,F,F,T
670,10,T,F,F
675,3,F,F,T
679,10,T,F,F
681,3,F,T,F
682,6,F,F,T
684,25,T,F,F
689,1,F,F,T
693,10,T,F,F
694,6,F,F,T
696,8,F,F,T
697,26,F,F,T
702,23,T,F,F
703,17,F,T,F
704,24,T,F,F
705,45,F,T,F
706,14,T,F,F
708,17,F,T,F
709,5,F,F,T
710,9,T,F,F
714,1,F,F,T
715,3,T,F,F
717,34,F,T,F
718,43,F,T,F
719,13,T,F,F
720,33,T,F,F
721,9,F,F,T
722,1,F,F,T
723,4,F,T,F
724,10,T,F,F
725,2,F,F,T
726,13,T,F,F
727,10,F,T,F
729,11,F,F,T
731,6,F,F,T
732,20,F,T,F
733,35,F,T,F
734,4,F,F,T
741,9,T,F,F
742,7,F,F,T
745,2,T,F,F
748,17,F,F,T
753,1,F,F,T
755,2,F,F,T
759,2,F,F,T
761,10,F,T,F
769,3,F,F,T
771,22,F,F,T
772,11,F,F,T
773,1,F,F,T
774,4,T,F,F
776,25,F,T,F
777,4,F,F,T
778,1,F,F,T
786,7,T,F,F
787,11,F,T,F
788,1,F,F,T
791,11,T,F,F
792,9,F,T,F
793,2,T,F,F
794,6,F,T,F
795,3,F,F,T
796,1,F,F,T
798,1,F,F,T
801,21,T,F,F
802,20,F,T,F
803,28,F,T,F
804,7,F,F,T
805,1,F,F,T
812,14,F,F,T
813,12,F,F,T
816,7,T,F,F
817,2,F,T,F
818,10,T,F,F
819,18,T,F,F
820,3,F,F,T
821,3,F,F,T
822,8,T,F,F
824,1,F,F,T
825,1,F,F,T
827,2,F,F,T
837,46,F,T,F
838,42,F,T,F
839,13,T,F,F
841,1,F,F,T
842,28,T,F,F
844,2,F,F,T
845,2,F,T,F
846,5,F,T,F
847,1,T,F,F
848,4,F,T,F
851,5,T,F,F
856,8,T,F,F
857,18,F,T,F
858,7,T,F,F
859,8,F,T,F
860,6,F,T,F
861,35,F,T,F
862,6,F,T,F
863,8,T,F,F
864,7,F,F,T
865,32,F,T,F
866,6,F,T,F
867,54,F,T,F
868,1,F,F,T
872,2,F,F,T
873,1,F,F,T
875,5,T,F,F
